Tue, 08 Aug 2017 17:22:44 lagouetl.py[line:104] INFO COPY pageno 218, insert count: 131466 current offset: 218000
Tue, 08 Aug 2017 17:23:13 lagouetl.py[line:104] INFO COPY pageno 219, insert count: 132143 current offset: 219000
Tue, 08 Aug 2017 17:23:41 lagouetl.py[line:104] INFO COPY pageno 220, insert count: 132834 current offset: 220000
Tue, 08 Aug 2017 17:24:09 lagouetl.py[line:104] INFO COPY pageno 221, insert count: 133477 current offset: 221000
Tue, 08 Aug 2017 17:24:38 lagouetl.py[line:104] INFO COPY pageno 222, insert count: 134039 current offset: 222000
Tue, 08 Aug 2017 17:25:07 lagouetl.py[line:104] INFO COPY pageno 223, insert count: 134685 current offset: 223000
Tue, 08 Aug 2017 17:25:36 lagouetl.py[line:104] INFO COPY pageno 224, insert count: 135319 current offset: 224000
Tue, 08 Aug 2017 17:26:05 lagouetl.py[line:104] INFO COPY pageno 225, insert count: 135954 current offset: 225000
Tue, 08 Aug 2017 17:26:33 lagouetl.py[line:104] INFO COPY pageno 226, insert count: 136581 current offset: 226000
Tue, 08 Aug 2017 17:27:02 lagouetl.py[line:104] INFO COPY pageno 227, insert count: 137249 current offset: 227000
Tue, 08 Aug 2017 17:27:31 lagouetl.py[line:104] INFO COPY pageno 228, insert count: 137885 current offset: 228000
Tue, 08 Aug 2017 17:28:00 lagouetl.py[line:104] INFO COPY pageno 229, insert count: 138442 current offset: 229000
Tue, 08 Aug 2017 17:28:30 lagouetl.py[line:104] INFO COPY pageno 230, insert count: 139058 current offset: 230000
Tue, 08 Aug 2017 17:28:58 lagouetl.py[line:104] INFO COPY pageno 231, insert count: 139795 current offset: 231000
